episode,score,steps,epsilon,lr,loss,avg_v,grad_norm
327,48,13,0.9816,0.00004954,5.2925,37.5790,0.0000
328,32,9,0.9816,0.00004954,7.1807,37.8433,0.0000
329,60,13,0.9815,0.00004954,5.1770,38.2516,0.0000
330,38,10,0.9814,0.00004954,5.7965,38.3704,0.0000
331,58,11,0.9814,0.00004953,5.9229,44.6348,0.0000
332,33,9,0.9813,0.00004953,4.5078,37.7888,0.0000
333,88,15,0.9813,0.00004953,4.0498,48.1026,0.0000
334,44,11,0.9812,0.00004953,6.7004,38.1898,0.0000
335,32,7,0.9812,0.00004953,5.0515,41.6103,0.0000
336,52,10,0.9811,0.00004953,4.9401,40.1775,0.0000
337,162,19,0.9810,0.00004953,5.2704,47.4012,0.0000
338,94,17,0.9810,0.00004952,6.4228,40.0841,0.0000
339,34,9,0.9809,0.00004952,6.6731,37.6903,0.0000
340,38,9,0.9809,0.00004952,7.0171,37.7436,0.0000
341,33,8,0.9808,0.00004952,6.2231,37.3772,0.0000
342,177,21,0.9808,0.00004952,5.6509,47.4217,0.0000
343,41,9,0.9807,0.00004952,7.1958,41.8446,0.0000
344,35,9,0.9807,0.00004952,5.7340,45.3706,0.0000
345,36,9,0.9806,0.00004951,5.1180,41.4020,0.0000
346,116,17,0.9805,0.00004951,5.5741,48.5360,0.0000
347,65,15,0.9805,0.00004951,7.1379,44.1415,0.0000
348,43,12,0.9804,0.00004951,5.6442,44.1198,0.0000
349,22,5,0.9804,0.00004951,4.9986,44.7261,0.0000
350,50,9,0.9803,0.00004951,4.7734,49.2610,0.0000
351,172,18,0.9803,0.00004951,6.7957,51.7572,0.0000
352,30,8,0.9802,0.00004951,6.6323,42.7595,0.0000
353,57,13,0.9801,0.00004950,7.4212,46.0171,0.0000
354,121,15,0.9801,0.00004950,6.3493,47.9438,0.0000
355,36,9,0.9800,0.00004950,6.8160,43.2144,0.0000
356,32,8,0.9800,0.00004950,5.5763,43.1824,0.0000
357,177,20,0.9799,0.00004950,7.4822,53.8487,0.0000
358,78,13,0.9799,0.00004950,6.2545,47.3470,0.0000
359,64,13,0.9798,0.00004950,6.2853,47.4393,0.0000
360,31,7,0.9798,0.00004949,4.7815,43.0661,0.0000
361,48,12,0.9797,0.00004949,5.6431,45.0666,0.0000
362,61,14,0.9796,0.00004949,2.9354,44.4294,0.0000
363,90,15,0.9796,0.00004949,3.5512,49.5210,0.0000
364,78,11,0.9795,0.00004949,7.4704,47.7129,0.0000
365,42,12,0.9795,0.00004949,5.5973,45.1089,0.0000
366,54,13,0.9794,0.00004949,6.1180,45.6553,0.0000
367,35,9,0.9794,0.00004948,6.1549,44.0540,0.0000
368,27,6,0.9793,0.00004948,7.1646,43.5451,0.0000
369,32,7,0.9792,0.00004948,5.2940,47.1980,0.0000
370,30,8,0.9792,0.00004948,4.8677,42.4829,0.0000
371,52,12,0.9791,0.00004948,4.8095,43.3884,0.0000
